CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Wheat,80,39.01,23.9,59.61,0
Cotton,90,11.16,29.07,56.78,1
Cotton,66,46.24,23.6,61.89,0
Wheat,78,43.82,21.93,72.82,0
Sugarcane,138,56.47,31.88,73.11,0
Potato,36,94.27,24.41,74.52,0
Wheat,96,67.49,21.84,61.48,0
Sugarcane,123,16.94,28.88,75.44,1
Potato,140,37.5,23.33,86.91,0
Cotton,145,80.68,31.16,66.46,0
Cotton,87,71.96,28.11,62.77,0
Rice,17,57.12,36.66,82.27,1
Maize,69,43.04,23.35,62.88,0
Rice,54,47.75,35.34,80.91,1
Potato,127,37.79,15.91,51.17,0
Potato,8,36.8,21.69,58.12,0
Rice,108,68.94,35.18,88.2,0
Potato,19,72.07,14.09,71.99,0
Potato,52,51.82,16.82,74.54,0
Maize,90,19.18,37.77,58.58,1
Cotton,39,92.92,26.25,59.55,0
Maize,11,13.53,34.85,64.81,1
Potato,113,62.16,27.95,73.24,0
Rice,103,49.63,32.99,70.8,1
Rice,51,87.46,24.87,92.3,0
Rice,49,67.47,25.11,65.49,0
Sugarcane,23,37.03,20.87,79.44,1
Sugarcane,97,53.0,32.29,60.2,0
Potato,93,84.18,21.54,67.2,0
Rice,47,62.4,18.68,70.65,0
Wheat,7,65.15,32.22,54.58,0
Potato,52,35.28,22.41,58.22,0
Cotton,4,56.95,34.98,62.55,0
Sugarcane,36,55.92,30.62,62.08,0
Maize,16,57.46,23.38,74.34,0
Potato,39,52.71,16.88,57.41,0
Cotton,36,76.59,30.98,59.01,0
Maize,90,92.53,27.8,56.86,0
Potato,19,53.88,23.41,68.76,0
Wheat,12,90.8,16.63,55.97,0
Cotton,117,19.9,28.9,57.35,1
Potato,108,14.11,22.13,71.68,1
Wheat,98,77.98,26.35,62.13,0
Wheat,85,45.2,20.26,65.77,0
Cotton,119,50.66,32.5,65.63,0
Rice,74,56.15,37.16,65.57,1
Rice,83,73.09,32.77,65.51,0
Potato,77,90.96,18.28,73.25,0
Cotton,85,12.19,35.28,87.51,1
Wheat,60,31.94,23.04,65.24,0
Wheat,1,38.08,14.22,82.56,0
Maize,12,93.64,28.23,72.45,0
Cotton,121,15.02,35.53,69.22,1
Potato,141,17.75,24.85,55.45,1
Cotton,56,44.92,16.8,56.77,0
Wheat,68,25.05,27.65,66.65,1
Potato,13,24.41,20.69,62.22,1
Maize,45,50.38,20.51,51.88,0
Rice,53,68.42,41.54,78.21,0
Potato,19,38.41,17.23,83.49,0
Rice,28,78.35,26.02,84.24,0
Potato,77,62.58,16.66,68.54,0
Rice,46,10.94,32.54,96.31,1
Sugarcane,65,40.12,35.37,60.83,0
Potato,77,60.47,14.1,70.14,0
Rice,45,29.09,29.08,63.3,1
Rice,134,38.1,27.27,95.23,1
Sugarcane,77,47.45,32.95,67.39,0
Cotton,25,37.12,34.18,58.27,0
Potato,75,59.71,15.54,66.88,0
Wheat,116,44.63,24.79,60.52,0
Sugarcane,126,59.05,31.12,79.04,0
Rice,25,73.74,30.72,88.27,0
Maize,80,26.88,20.92,54.34,1
Potato,21,46.25,16.37,69.5,0
Maize,10,54.04,21.52,55.82,0
Wheat,15,42.93,17.94,67.85,0
Wheat,16,38.29,28.86,64.91,0
Maize,111,67.72,20.13,75.07,0
Potato,9,21.7,10.93,56.91,1
Wheat,52,53.54,22.38,61.99,0
Sugarcane,89,22.91,27.99,68.45,1
Wheat,13,46.4,26.95,68.11,0
Rice,82,27.56,35.17,65.8,1
Cotton,126,26.88,30.55,60.76,0
Wheat,35,81.92,12.46,48.43,0
Potato,72,17.0,18.2,92.54,1
Sugarcane,7,82.86,27.18,74.23,0
Potato,29,37.89,20.77,63.47,0
Rice,126,36.53,31.87,83.12,1
Maize,21,68.03,23.04,71.92,0
Wheat,109,69.93,24.23,71.51,0
Rice,131,24.35,30.37,78.5,1
Potato,87,24.3,20.89,79.79,1
Cotton,127,50.56,26.17,36.03,0
Sugarcane,95,84.74,27.14,73.33,0
Potato,79,16.03,24.55,63.73,1
Rice,47,83.4,29.56,81.31,0
Cotton,78,39.25,16.39,69.43,0
Sugarcane,38,15.37,26.96,45.88,1
Wheat,56,55.06,7.86,51.3,0
Sugarcane,16,82.53,25.79,74.03,0
Maize,132,53.59,29.48,48.28,0
Sugarcane,69,88.26,27.71,68.41,0
Sugarcane,66,10.02,26.43,75.21,1
Potato,97,71.54,19.4,74.9,0
Cotton,125,39.65,37.14,45.26,0
Wheat,70,19.18,23.81,51.85,1
Wheat,13,16.9,28.31,56.68,1
Sugarcane,79,75.72,29.53,70.35,0
Cotton,67,78.69,33.24,41.41,0
Maize,68,94.33,20.12,78.04,0
Cotton,42,29.95,27.37,70.3,0
Potato,72,36.16,16.09,59.9,0
Rice,63,15.22,26.91,67.53,1
Rice,126,51.9,26.39,76.88,1
Maize,122,35.34,20.4,60.08,0
Potato,56,34.11,19.54,54.59,1
Cotton,123,82.59,30.04,56.74,0
Maize,17,79.67,24.18,67.12,0
Maize,46,90.96,23.31,80.8,0
Maize,10,26.51,31.27,62.99,1
Wheat,84,66.39,18.78,50.56,0
Potato,45,25.81,24.51,78.1,1
Rice,69,22.0,28.0,82.69,1
Potato,35,63.35,18.1,64.19,0
Rice,58,63.16,23.75,68.92,0
Maize,71,80.11,27.57,83.67,0
Wheat,74,92.26,23.92,79.21,0
Wheat,32,40.81,17.56,65.34,0
Maize,130,42.15,12.1,70.14,0
Cotton,22,16.14,35.56,62.38,1
Rice,117,42.88,27.32,77.36,1
Maize,96,51.13,23.14,57.72,0
Sugarcane,50,92.1,33.31,61.93,0
Sugarcane,74,55.44,27.65,65.71,0
Maize,17,41.63,21.3,76.92,0
Cotton,120,60.78,28.8,43.3,0
Rice,90,88.13,20.78,71.1,0
Maize,131,39.89,25.72,73.5,0
Wheat,63,71.63,22.53,64.51,0
Cotton,117,61.12,32.8,39.81,0
Potato,62,47.91,26.72,49.38,1
Potato,144,50.83,14.29,74.07,0
Potato,26,12.28,15.78,64.94,1
Maize,2,46.3,29.75,64.41,0
Sugarcane,78,31.43,24.82,68.53,1
Cotton,66,11.88,23.09,48.19,1
Cotton,130,23.02,33.36,75.28,1
Maize,100,45.55,27.01,63.24,0
Sugarcane,100,20.15,35.04,64.5,1
Rice,71,57.22,23.24,83.87,1
Sugarcane,48,40.27,24.22,79.24,0
Sugarcane,23,77.07,30.78,51.66,0
Wheat,11,69.87,20.67,62.41,0
Potato,10,89.06,11.55,69.43,0
Maize,145,20.31,26.56,46.1,1
Cotton,141,70.13,32.83,63.01,0
Rice,130,20.32,25.83,85.83,1
Rice,127,31.15,22.07,73.37,1
Cotton,10,79.12,34.18,52.61,0
Sugarcane,14,82.76,33.77,76.17,0
Potato,20,88.42,9.67,67.78,0
Potato,44,36.86,20.69,62.46,0
Rice,10,67.18,24.88,74.79,0
Wheat,18,16.37,16.42,53.9,1
Cotton,32,93.4,37.24,58.33,0
Potato,87,20.03,19.6,61.71,1
Maize,84,48.17,33.42,83.44,0
Sugarcane,30,41.18,31.09,66.73,0
Maize,13,69.57,29.31,50.84,0
Rice,23,32.54,25.25,78.01,1
Sugarcane,13,36.98,30.42,54.8,1
Cotton,130,11.36,29.48,63.93,1
Maize,127,68.06,25.62,72.1,0
Potato,73,44.55,21.64,75.9,0
Sugarcane,110,36.32,33.82,81.27,1
Cotton,85,41.7,33.32,50.12,0
Sugarcane,85,49.83,28.06,66.94,0
Sugarcane,68,81.28,27.07,79.94,0
Maize,101,35.65,25.03,59.43,0
Cotton,28,80.51,24.51,74.21,0
Cotton,33,28.29,33.35,62.02,0
Rice,121,30.02,25.68,63.77,1
Maize,140,91.14,19.97,47.91,0
Sugarcane,9,83.91,26.62,59.06,0
Cotton,93,61.7,38.15,56.27,0
Cotton,116,35.49,23.64,59.02,0
Rice,91,83.57,38.98,87.97,0
Potato,38,77.63,18.97,63.5,0
Maize,49,68.8,23.59,65.98,0
Rice,43,52.67,31.28,84.83,1
Sugarcane,143,47.7,29.25,73.22,0
Rice,113,17.07,29.7,91.28,1
Sugarcane,56,71.78,28.43,74.2,0
Cotton,16,53.57,28.66,41.64,0
Potato,45,26.38,18.04,60.29,1
Sugarcane,44,29.34,27.58,60.34,1
Sugarcane,55,93.99,23.35,69.39,0
Maize,10,70.32,26.39,59.91,0
Sugarcane,30,13.35,29.51,58.92,1
Potato,63,34.67,15.15,69.05,1
Potato,43,55.52,8.07,62.54,0
Wheat,71,38.54,23.39,61.83,0
Cotton,148,56.52,28.44,65.13,0
Potato,57,33.72,20.55,61.24,1
Rice,127,40.41,39.12,77.62,1
Sugarcane,87,77.51,32.95,71.69,0
Potato,42,91.66,18.4,67.75,0
Potato,100,73.64,22.09,64.23,0
Wheat,39,44.48,19.97,71.79,0
Wheat,51,18.82,17.34,57.34,1
Maize,17,82.41,25.89,44.0,0
Sugarcane,76,69.97,32.95,62.65,0
Rice,59,25.76,30.27,66.57,1
Rice,18,65.62,28.2,85.24,0
Potato,71,43.05,18.04,61.41,0
Wheat,35,56.78,29.79,61.44,0
Wheat,23,20.16,18.21,57.55,1
Wheat,1,73.52,20.43,75.95,0
Potato,108,93.58,23.9,56.4,0
Cotton,119,10.66,31.65,59.95,1
Maize,44,68.41,23.34,77.68,0
Rice,86,91.03,36.03,64.73,1
Cotton,138,34.63,26.27,53.2,0
Maize,137,28.48,18.46,49.02,1
Rice,3,47.77,35.42,70.16,1
Cotton,40,17.78,24.53,64.98,1
Wheat,2,10.84,11.39,50.84,1
Maize,22,35.85,22.02,74.01,0
Sugarcane,84,82.4,35.7,94.99,0
Wheat,40,46.65,20.65,42.91,0
Sugarcane,138,63.7,26.73,70.27,0
Sugarcane,66,89.02,31.73,61.5,0
Wheat,140,21.33,16.99,63.18,1
Maize,84,19.69,30.18,69.46,1
Cotton,33,48.96,27.37,60.32,0
Sugarcane,37,46.98,31.98,51.92,0
Cotton,82,28.73,30.96,51.06,0
Maize,94,66.69,27.08,62.64,0
Sugarcane,148,63.21,27.97,63.83,0
Cotton,53,80.97,26.88,63.38,0
Sugarcane,125,24.5,23.13,45.87,1
Sugarcane,116,65.61,27.69,56.08,0
Maize,91,17.8,28.76,68.59,1
Rice,103,75.27,32.62,94.95,0
Maize,126,69.63,21.66,64.39,0
Cotton,10,33.39,33.37,58.4,0
Wheat,131,50.62,26.85,49.14,0
Potato,26,36.83,21.75,59.06,0
Sugarcane,3,83.92,29.37,79.67,0
Sugarcane,66,67.02,27.23,76.96,0
Potato,139,39.91,29.65,61.45,0
Rice,85,74.6,20.32,72.39,0
Potato,138,59.51,17.53,62.52,0
Potato,71,59.96,20.48,61.57,0
Wheat,73,34.14,11.84,55.97,0
Sugarcane,133,85.91,24.4,79.81,0
Maize,25,74.54,21.54,66.96,0
Wheat,125,79.09,29.34,72.43,0
Maize,82,80.93,22.69,72.57,0
Wheat,129,12.81,23.28,66.9,1
Cotton,45,87.76,27.7,56.27,0
Cotton,16,74.07,32.26,57.18,0
Maize,11,80.78,29.41,64.86,0
Sugarcane,138,10.2,21.67,67.08,1
Wheat,101,90.52,22.44,47.34,0
Cotton,117,90.39,24.07,70.58,0
Potato,54,38.53,22.67,94.42,0
Sugarcane,128,46.0,38.43,66.56,0
Cotton,68,88.52,27.56,70.74,0
Potato,66,67.56,25.17,82.17,0
Potato,90,48.72,20.84,76.95,0
Potato,49,23.91,25.45,79.5,1
Rice,103,21.2,28.33,85.75,1
Rice,82,42.54,24.8,99.45,1
Rice,133,74.78,30.66,78.85,0
Wheat,100,84.43,17.76,49.95,0
Maize,79,41.9,19.97,68.6,0
Rice,14,93.28,29.16,81.89,0
Maize,20,79.67,29.26,52.71,0
Sugarcane,8,52.74,28.03,73.2,0
Wheat,32,72.42,12.59,61.12,0
Maize,30,17.86,17.7,46.89,1
Rice,141,87.02,36.31,88.77,0
Maize,77,81.65,33.88,60.39,0
Rice,127,40.7,26.93,81.96,1
Rice,141,12.92,34.82,83.63,1
Cotton,49,85.36,38.65,45.23,1
Maize,146,22.27,23.27,69.89,1
Sugarcane,124,62.87,33.07,61.31,0
Rice,128,22.23,24.14,102.74,1
Maize,33,47.63,20.56,72.72,0
Maize,96,27.91,28.2,51.84,1
Maize,133,31.96,26.93,73.38,1
Rice,18,27.36,22.68,93.15,1
Maize,130,87.92,23.87,78.89,0
Rice,72,62.59,33.45,74.81,0
Maize,140,63.68,19.63,66.25,0
Maize,89,62.95,32.41,62.17,0
Cotton,130,82.52,28.53,50.63,0
Rice,70,40.49,37.07,88.63,1
Wheat,116,91.79,22.34,59.8,0
Sugarcane,12,16.68,24.13,62.11,1
Rice,100,94.66,32.23,83.89,0
Cotton,95,29.92,29.59,62.43,0
Maize,31,80.16,24.05,63.02,0
Wheat,48,13.81,12.52,69.59,1
Sugarcane,65,44.03,29.38,75.88,0
Cotton,28,86.29,26.96,65.93,0
Potato,69,34.58,20.63,55.72,1
Potato,115,91.63,20.19,64.76,0
Sugarcane,21,39.04,34.28,75.75,1
Wheat,130,75.07,16.76,49.37,0
Wheat,51,83.09,22.46,46.9,0
Rice,76,74.82,22.15,85.71,0
Potato,131,62.9,23.13,71.52,0
Cotton,16,17.61,35.52,57.44,1
Potato,112,84.36,21.96,60.89,0
Sugarcane,15,29.86,23.65,76.69,1
Maize,49,42.73,22.26,64.01,0
Rice,29,74.5,30.08,70.25,0
Wheat,23,53.65,20.25,66.36,0
Rice,103,38.98,27.16,90.75,1
Maize,73,38.33,38.78,61.94,0
Rice,120,51.35,26.33,76.9,1
Sugarcane,11,35.93,29.25,57.36,1
Rice,16,56.9,26.25,59.56,1
Cotton,17,25.68,21.04,59.8,0
Wheat,92,66.44,19.67,43.97,0
Wheat,101,27.42,18.22,64.15,1
Potato,122,46.46,16.99,58.92,0
Potato,24,90.22,19.69,69.91,0
Maize,110,32.93,30.03,77.82,1
Cotton,106,54.89,28.91,58.34,0
Rice,31,83.55,37.59,86.86,0
Rice,101,27.06,29.0,82.49,1
Cotton,15,64.26,26.71,63.38,0
Rice,75,50.06,31.61,75.21,1
Potato,118,44.31,15.14,72.64,0
Cotton,75,12.76,34.35,69.49,1
Potato,149,23.16,14.77,59.21,1
Cotton,78,48.26,31.56,46.18,0
Maize,97,49.1,20.84,50.94,0
Potato,67,85.0,10.77,75.36,0
Sugarcane,81,52.42,28.75,61.18,0
Potato,70,35.26,24.97,81.24,0
Rice,24,30.69,27.88,85.0,1
Cotton,139,65.27,25.89,47.81,0
Maize,118,20.48,16.56,53.8,1
Wheat,98,23.04,13.12,45.49,1
Maize,7,70.11,22.52,53.47,0
Potato,53,20.32,26.66,48.89,1
Rice,108,24.83,35.31,76.24,1
Rice,104,83.68,30.49,71.01,0
Rice,41,24.18,33.26,88.82,1
Rice,39,24.79,35.48,58.09,1
Sugarcane,123,81.08,28.16,67.25,0
Rice,101,92.85,30.02,92.3,0
Rice,123,39.75,41.03,91.99,1
Sugarcane,97,81.71,32.44,65.44,0
Rice,1,70.66,31.63,66.11,0
Potato,8,92.16,14.33,65.98,0
Sugarcane,54,83.79,28.37,78.31,0
Maize,46,11.51,19.68,69.15,1
Sugarcane,92,41.22,36.89,71.16,0
Potato,52,71.92,14.45,54.58,0
Sugarcane,149,36.74,31.25,64.39,1
Sugarcane,65,16.52,22.02,49.61,1
Wheat,139,49.67,21.56,77.82,0
Maize,56,24.3,24.14,51.4,1
Rice,77,67.12,35.8,85.14,0
Potato,75,69.32,22.08,62.21,0
Maize,98,90.33,22.63,66.89,0
Wheat,130,49.93,31.39,47.65,0
Wheat,20,87.85,13.93,64.56,0
Potato,91,54.69,23.06,83.88,0
Maize,107,19.03,27.67,55.85,1
Potato,67,94.31,23.71,62.29,0
Wheat,52,73.76,19.93,41.98,0
Cotton,106,47.43,37.05,62.32,0
Wheat,19,54.43,19.68,56.47,0
Cotton,90,27.7,27.14,54.58,0
Maize,140,75.87,29.13,71.53,0
Cotton,116,14.95,27.81,43.74,1
Maize,144,75.18,28.05,49.45,0
Rice,138,84.94,37.72,80.85,0
Sugarcane,23,19.75,30.42,59.31,1
Rice,20,12.76,34.78,103.25,1
Wheat,31,34.49,17.27,61.26,0
Potato,62,52.43,16.8,68.97,0
Rice,113,32.54,31.57,81.3,1
Cotton,146,82.42,23.44,52.12,0
Maize,11,65.04,25.16,73.06,0
Potato,40,60.36,31.7,64.16,0
Potato,16,51.76,19.33,72.69,0
Wheat,113,61.32,16.33,43.43,0
Cotton,21,21.1,28.71,59.3,1
Wheat,93,27.1,19.75,51.7,1
Cotton,35,78.65,30.75,60.98,0
Maize,88,76.54,26.96,69.54,0
Potato,141,73.52,20.93,52.99,0
Cotton,75,50.09,30.44,62.32,0
Sugarcane,124,81.0,35.17,65.93,0
Potato,61,28.74,16.38,67.49,1
Cotton,70,78.42,25.65,59.89,0
Rice,6,22.28,20.35,73.26,1
Cotton,52,31.99,33.14,56.43,0
Sugarcane,2,59.04,27.93,60.05,0
Sugarcane,118,42.85,37.77,50.05,1
Potato,56,84.91,21.09,63.04,0
Cotton,8,58.36,28.16,62.14,0
Potato,113,50.01,18.86,81.89,0
Rice,63,51.04,33.94,77.89,1
Cotton,145,47.94,33.31,60.76,0
Wheat,121,50.35,23.77,54.29,0
Cotton,43,26.61,30.99,52.27,0
Wheat,134,55.09,24.82,77.39,0
Rice,102,44.54,44.68,69.27,1
Cotton,11,39.38,27.95,76.09,0
Wheat,141,54.6,13.01,72.03,0
Sugarcane,10,48.23,33.75,76.54,0
Rice,56,32.75,34.39,78.03,1
Wheat,50,46.63,18.6,46.38,0
Maize,104,59.77,19.06,65.72,0
Sugarcane,139,57.58,35.67,64.82,0
Sugarcane,149,74.33,35.96,61.81,0
Potato,126,39.38,16.97,74.84,0
Sugarcane,24,54.47,32.87,66.35,0
Rice,43,53.95,17.97,87.18,1
Sugarcane,131,16.18,26.79,76.59,1
Potato,32,50.99,15.64,81.06,0
Maize,130,35.88,22.59,50.97,0
Wheat,73,32.71,16.06,52.62,0
Wheat,105,47.29,17.85,56.72,0
Potato,48,47.21,16.21,57.71,0
Sugarcane,125,60.67,28.7,63.44,0
Wheat,66,78.62,12.45,57.79,0
Cotton,37,57.87,35.42,62.1,0
Wheat,42,67.73,11.95,53.03,0
Wheat,71,24.81,16.38,59.42,1
Cotton,70,15.48,30.21,64.55,1
Cotton,79,32.47,30.49,41.55,0
Potato,51,34.42,18.35,84.25,1
Maize,1,50.96,15.01,65.34,0
Maize,87,89.79,27.04,68.55,0
Sugarcane,10,35.8,21.84,60.95,1
Wheat,28,91.74,16.86,57.07,0
Sugarcane,142,19.4,29.05,55.03,1
Wheat,10,80.06,13.61,62.59,0
Wheat,20,78.64,16.6,60.13,0
Maize,25,60.8,27.68,70.53,0
Maize,94,73.55,19.67,65.5,0
Maize,141,42.95,27.32,63.12,0
Rice,123,66.99,33.33,63.57,0
Maize,74,73.35,14.64,66.77,0
Cotton,70,16.1,30.51,61.49,1
Sugarcane,75,72.52,23.6,63.94,0
Maize,23,70.79,19.29,54.08,0
Sugarcane,31,62.7,34.54,65.92,0
Maize,96,51.28,30.79,66.17,0
Potato,38,19.03,19.69,79.79,1
Wheat,29,89.05,19.15,35.94,0
Maize,104,10.31,21.14,47.26,1
Rice,136,64.69,33.44,73.87,0
Potato,94,45.37,16.51,57.96,0
Cotton,102,45.02,31.6,45.93,0
Sugarcane,125,44.26,36.69,80.08,0
Potato,106,17.95,14.82,65.47,1
Sugarcane,77,36.97,29.94,85.87,1
Maize,142,67.21,25.43,59.13,0
Potato,141,70.43,21.6,65.49,0
Sugarcane,12,85.44,24.52,87.94,0
Potato,49,55.16,22.64,66.33,0
Cotton,23,81.62,37.04,47.91,0
Cotton,46,59.05,34.9,64.0,0
Sugarcane,52,75.56,33.68,70.62,0
Maize,57,35.77,19.74,39.68,0
Sugarcane,116,78.19,36.64,59.64,0
Cotton,105,48.73,34.39,65.62,0
Wheat,27,43.32,27.23,50.01,0
Rice,111,10.02,26.27,73.38,1
Maize,41,33.77,25.1,51.1,1
Wheat,13,16.68,26.46,52.51,1
Wheat,146,91.57,22.31,73.01,0
Rice,44,93.67,24.72,76.46,0
Maize,100,59.79,18.32,86.36,0
Maize,94,48.13,35.18,69.69,0
Wheat,11,64.91,27.26,52.61,0
Wheat,25,48.04,17.36,68.81,0
Wheat,118,49.4,19.43,69.88,0
Maize,89,90.18,35.09,67.31,0
Rice,72,52.29,28.28,76.25,1
Cotton,23,62.97,30.03,51.97,0
Wheat,113,58.54,15.02,36.78,0
Rice,88,54.55,29.96,82.02,1
Wheat,17,13.67,14.48,48.31,1
Potato,70,10.78,12.78,74.37,1
Maize,105,30.8,23.93,74.7,1
Rice,43,26.26,34.49,80.38,1
Wheat,106,69.59,21.35,56.17,0
Potato,16,15.93,13.53,66.66,1
Maize,90,57.1,32.92,66.63,0
Rice,57,26.78,33.36,91.79,1
Cotton,34,89.36,34.77,68.26,0
Sugarcane,97,36.03,23.94,77.24,1
Maize,79,79.93,10.83,78.59,0
Sugarcane,98,15.96,29.99,81.24,1
Rice,53,83.08,21.59,77.04,0
Sugarcane,43,85.38,36.89,63.28,0
Maize,120,48.77,16.8,55.43,0
Sugarcane,61,36.76,15.68,51.12,1
Maize,89,52.66,30.9,85.7,0
Potato,1,25.0,20.9,80.95,1
Rice,15,89.26,29.26,85.09,0
Maize,102,19.57,22.18,50.06,1
Maize,23,32.71,19.09,65.31,1
Rice,69,70.75,28.0,72.55,0
Sugarcane,73,56.44,20.54,78.38,0
Wheat,93,74.99,23.03,56.63,0
Wheat,131,69.15,22.51,53.36,0
Potato,64,11.91,28.08,75.76,1
Potato,91,50.81,13.66,68.86,0
Wheat,1,80.82,20.95,66.34,0
Wheat,56,13.73,17.83,77.22,1
Potato,129,66.95,18.4,43.45,0
Sugarcane,36,20.48,31.05,64.39,1
Sugarcane,1,94.37,27.95,71.45,0
Cotton,101,27.67,45.45,62.8,0
Wheat,12,71.4,13.78,59.74,0
Wheat,147,51.43,26.95,46.44,0
Cotton,110,33.35,34.83,53.24,0
Potato,15,75.51,15.32,70.13,0
Wheat,145,61.65,13.39,55.6,0
Potato,74,66.24,18.35,65.33,0
Wheat,61,39.95,24.25,47.25,0
Cotton,36,80.52,25.33,41.32,0
Rice,105,62.66,35.48,86.94,0
Potato,113,11.15,21.12,62.19,1
Maize,119,84.41,22.95,83.19,0
Sugarcane,66,50.81,29.38,46.62,0
Sugarcane,144,69.0,20.54,71.79,0
Sugarcane,57,32.36,27.87,59.53,1
Wheat,54,24.86,20.17,62.69,1
Rice,31,18.05,39.31,70.54,1
Potato,47,57.6,23.89,73.45,0
Maize,134,68.62,29.65,50.33,0
Potato,118,52.88,22.03,93.71,0
Wheat,145,17.61,10.26,51.06,1
Rice,21,68.47,27.92,87.52,0
Maize,64,26.68,20.47,80.72,1
Rice,4,54.81,31.69,86.46,1
Sugarcane,59,11.96,29.21,72.18,1
Wheat,100,20.83,16.82,62.08,1
Rice,131,81.6,26.76,85.09,0
Sugarcane,26,47.16,33.36,55.0,0
Cotton,61,37.24,27.71,61.1,0
Wheat,77,83.82,21.7,63.41,0
Wheat,29,38.57,28.48,67.04,0
Maize,41,84.08,15.05,58.25,0
Cotton,87,70.9,32.61,56.53,0
Rice,61,78.64,28.83,71.06,0
Potato,146,28.08,20.44,92.57,1
Sugarcane,132,80.8,33.22,70.82,0
Potato,33,25.8,19.83,52.07,1
Maize,87,51.51,28.02,45.1,0
Wheat,131,37.59,24.54,72.72,0
Maize,78,77.1,20.21,74.47,0
Maize,112,17.2,23.54,60.96,1
Sugarcane,128,39.83,21.67,55.05,1
Maize,19,60.23,28.52,59.72,0
Rice,82,44.76,27.77,100.54,1
Sugarcane,121,26.03,46.2,78.95,1
Potato,99,63.62,13.38,57.89,0
Rice,88,80.74,34.74,70.85,0
Cotton,14,70.07,26.39,43.4,0
Cotton,125,51.49,36.9,67.68,0
Potato,9,67.46,19.51,86.31,0
Maize,125,54.36,27.49,72.54,0
Maize,65,94.17,20.01,70.19,0
Wheat,111,37.22,14.87,65.59,0
Potato,135,61.21,23.2,64.13,0
Potato,144,48.11,25.7,59.13,0
Wheat,13,83.19,14.11,62.26,0
Wheat,50,41.69,18.57,49.23,0
Rice,100,13.48,35.04,80.71,1
Rice,23,88.37,34.73,81.37,0
Wheat,98,40.24,23.41,52.35,0
Potato,100,51.1,25.27,74.51,0
Rice,86,58.39,32.55,85.16,1
Sugarcane,95,50.54,28.23,71.09,0
Sugarcane,69,52.53,23.27,61.39,0
Maize,10,84.03,30.92,58.08,0
Potato,120,53.57,20.2,74.96,0
Wheat,131,24.66,27.32,81.0,1
Potato,103,33.14,22.03,56.37,1
Sugarcane,74,72.76,24.94,72.24,0
Sugarcane,90,86.29,34.52,59.93,0
Potato,91,57.63,24.9,73.96,0
Potato,132,50.76,16.6,48.72,0
Maize,112,14.7,27.2,56.98,1
Sugarcane,77,14.65,23.93,66.52,1
Sugarcane,40,14.66,38.43,63.63,1
Cotton,8,25.27,29.44,64.51,0
Potato,90,27.74,17.06,69.81,1
Sugarcane,56,72.56,28.28,51.28,0
Wheat,116,73.04,25.2,47.35,0
Wheat,38,31.01,15.77,68.83,0
Potato,82,26.7,16.19,69.6,1
Cotton,57,93.52,37.36,61.42,0
Sugarcane,47,38.79,35.73,69.04,1
Sugarcane,101,78.28,30.22,79.56,0
Cotton,25,64.27,24.98,49.62,0
Potato,86,52.53,15.17,83.49,0
Wheat,4,61.3,15.08,65.68,0
Sugarcane,77,37.06,30.21,53.47,1
Maize,121,45.29,23.05,88.81,0
Sugarcane,59,31.55,20.3,78.9,1
Maize,54,48.39,28.56,45.78,0
Cotton,114,79.16,30.16,54.63,0
Rice,86,68.81,34.82,76.95,0
Maize,13,15.72,31.58,63.55,1
Rice,144,12.83,23.61,87.45,1
Rice,112,44.67,33.99,83.37,1
Maize,125,58.86,16.56,51.84,0
Maize,146,93.68,28.95,48.99,0
Wheat,40,85.83,31.46,78.67,0
Cotton,4,43.03,37.64,54.79,0
Cotton,31,52.0,26.37,74.49,0
Sugarcane,112,58.55,27.25,77.97,0
Sugarcane,35,82.15,29.56,88.8,0
Cotton,97,28.8,34.15,53.68,0
Rice,93,21.08,27.72,92.84,1
Rice,38,72.26,39.15,73.1,0
Wheat,26,20.31,18.92,50.61,1
Cotton,95,25.17,33.29,55.54,0
Wheat,142,71.9,19.69,54.72,0
Sugarcane,29,94.85,39.79,78.38,0
Wheat,55,66.4,14.88,55.19,0
Potato,131,80.25,22.4,82.1,0
Cotton,128,60.86,29.61,55.44,0
Rice,115,32.03,28.8,86.71,1
Wheat,106,32.99,22.32,72.24,0
Rice,8,36.33,19.88,78.03,1
Sugarcane,8,81.28,24.05,76.79,0
Maize,131,27.81,29.4,64.04,1
Potato,106,39.35,16.76,66.09,0
Maize,88,67.29,25.81,60.87,0
Cotton,128,75.64,41.62,54.71,0
Sugarcane,23,81.55,28.06,83.06,0
Potato,101,10.91,23.07,72.79,1
Cotton,21,18.41,33.45,55.55,1
Cotton,7,93.28,27.84,78.08,0
Rice,76,21.79,29.28,78.35,1
Cotton,63,78.12,21.73,49.66,0
Wheat,86,56.91,13.23,67.34,0
Rice,21,92.08,29.93,76.57,0
Wheat,84,58.51,10.09,45.01,0
Sugarcane,63,80.83,33.12,55.75,0
Maize,93,90.87,31.18,58.83,0
Wheat,36,66.16,19.14,70.98,0
Potato,75,37.22,19.12,75.47,0
Wheat,52,79.38,13.67,64.39,0
Maize,90,75.49,15.29,64.96,0
Wheat,110,44.7,24.86,50.76,0
Potato,112,34.65,15.61,70.47,1
Wheat,123,89.36,18.17,65.04,0
Maize,5,50.4,22.98,68.21,0
Sugarcane,9,68.73,34.89,67.5,0
Sugarcane,51,13.08,38.93,74.38,1
